rOperationCode,rDocNumber,Invoice_No,Tax_BASE,Tax_CPFM,Tax_difference,Total_Amt_BASE,Total_Amt_CPFM,Total_Amt_difference
110625,62545066001444,5090224551,344.04,319.25,24.79,5258.93,5258.93,0.0
111391,139145066002111,5090225419,321.45,295.61,25.84,4913.58,4913.58,0.0
110319,31945066001305,5090228605,155.87,155.86,0.01,2382.52,2382.5,0.02
111682,168245066001523,5090228924,112.17,112.16,0.01,1714.53,1714.51,0.02
111651,165145066001714,5090229056,234.14,234.14,0.0,3578.96,3578.94,0.02
111667,166745066001373,5090228433,504.18,504.18,0.0,7706.71,7706.69,0.02
111380,138045066001475,5090229411,164.91,164.9,0.01,2520.7,2520.67,0.03
110322,32245066001877,5090228733,215.71,215.71,0.0,3297.28,3297.25,0.03
111599,159945066001926,5090227935,274.6,274.6,0.0,4197.47,4197.44,0.03
110768,76845066001474,5090228836,362.55,362.55,0.0,5541.83,5541.8,0.03
111578,157845066001854,5090227934,708.22,708.22,0.0,10825.65,10825.59,0.06
