rDocNumber,Inv. Date Check,ExcludeVAT_diff,VAT_diff,IncludeVAT_diff
661245066000048,True,-72.43,72.43,0.0
664745066000386,True,-3.02,3.02,0.0
225845066000021,True,10.24,-10.24,0.0
664745066000385,True,-0.53,0.53,0.0
507345066000161,True,-0.41,0.41,0.0
507345066000162,True,-0.87,0.87,0.0
505745066000403,True,-3.27,3.27,0.0
664745066000422,True,-0.02,0.02,0.0
664745066000418,True,-1.64,1.64,0.0
664745066000423,True,-0.45,0.45,0.0
507345066000175,True,-0.74,0.74,0.0
507345066000177,True,16.5,0.0,16.5
