rDocNumber,rOperationCode,Inv. Date Check,ExcludeVAT_diff,VAT_diff,IncludeVAT_diff
661245066000048,6612,True,-72.43,72.43,0.0
664745066000386,6647,True,-3.02,3.02,0.0
225845066000021,2258,True,10.24,-10.24,0.0
664745066000385,6647,True,-0.53,0.53,0.0
507345066000161,5073,True,-0.41,0.41,0.0
507345066000162,5073,True,-0.87,0.87,0.0
505745066000403,5057,True,-3.27,3.27,0.0
664745066000422,6647,True,-0.02,0.02,0.0
664745066000418,6647,True,-1.64,1.64,0.0
664745066000423,6647,True,-0.45,0.45,0.0
507345066000175,5073,True,-0.74,0.74,0.0
507345066000177,5073,True,16.5,0.0,16.5
