rOperationCode,rDocNumber,Invoice_No,Tax_BASE,Tax_B2B,Tax_difference,Total_Amt_BASE,Total_Amt_B2B,Total_Amt_difference
6612,661245066000048,114211611649,380.55,308.12,72.43,5759.75,5759.75,0.0
5057,505745066000403,047181622448,3.27,0.0,3.27,7242.5,7242.5,0.0
6647,664745066000422,072181622807,3.14,3.12,0.02,127.25,127.25,0.0
6647,664745066000418,072181622810,335.28,333.64,1.64,6250.0,6250.0,0.0
6647,664745066000423,072181622827,90.61,90.16,0.45,1550.75,1550.75,0.0
5073,507345066000175,114211627663,118.8,118.06,0.74,3950.75,3950.75,0.0
6647,664745066000386,072181612762,531.61,528.59,3.02,8126.0,8126.0,0.0
2258,225845066000021,007081615211,146.21,156.45,-10.24,6120.0,6120.0,0.0
6647,664745066000385,072181614771,85.05,84.52,0.53,1300.0,1300.0,0.0
5073,507345066000161,114211617655,83.12,82.71,0.41,1270.5,1270.5,0.0
5073,507345066000162,114211619656,176.64,175.77,0.87,19881.25,19881.25,0.0
5073,507345066000177,114211631669,0.0,0.0,0.0,383.75,367.25,16.5
